,Unnamed: 0,City,Common_Names,Country,County,Family_x,GBReference_title,GenBank,Genus_x,Latitude,Location,Longitude,Order_x,ScientificName_x,State,Test,Virus,Virus_Confirmed,Confirmation,Virus_Family,Year,accession,referenceID,Host,MatchHost,MatchRatio,Species ID,Kingdom,Phylum,Class,Order_y,Family_y,Genus_y,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned,ScientificName_y
964,4835,,,"USA: Illinois, Rockford",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,27-Sep-05,DQ874419,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
965,4836,,,"USA: Illinois, Springfield",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,17-Sep-05,DQ874418,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
966,4837,,,"USA: Illinois, Mchenry",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,9-Aug-05,DQ874417,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
967,4838,,,"USA: Illinois, Lake",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,3-Aug-05,DQ874416,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
968,4839,,,"USA: Illinois, Winnebago",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,2-Aug-05,DQ874415,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
969,4840,,,"USA: Illinois, Cook",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,2-Aug-05,DQ874414,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
970,4841,,,"USA: Illinois, Mchenry",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,29-Jul-05,DQ874413,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
971,4842,,,"USA: Illinois, Mchenry",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,1-Aug-05,DQ874412,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
972,4844,,,"USA: Illinois, Lake",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,20-Jul-05,DQ874410,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
973,4845,,,"USA: Illinois, Cook",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,18-Jul-05,DQ874409,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
974,4846,,,"USA: Illinois, Cook",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,18-Jul-05,DQ874408,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
975,4847,,,"USA: Illinois, Kane",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,12-Jul-05,DQ874407,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
976,4848,,,"USA: Illinois, Saintclair",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,13-Jul-05,DQ874406,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
977,4849,,,"USA: Illinois, Dupage",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,12-Jul-05,DQ874405,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
978,4850,,,"USA: Illinois, Rock Island",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,7-Jul-05,DQ874404,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
979,4851,,,"USA: Illinois, Lake",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,18-Jun-05,DQ874403,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
980,4852,,,"USA: Illinois, Lee",,CORVIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_authors': ['Bertolotti,L.', 'Kitron,U.', 'Goldberg,T.L.'], u'GBReference_journal': 'Virology 360 (1), 143-149 (2007)', u'GBReference_pubmed': '17113619', u'GBReference_xref': [{u'GBXref_id': '10.1016/j.virol.2006.10.030', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Diversity and evolution of West Nile virus in Illinois and the United States, 2002-2005'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,17-Jun-05,DQ874402,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
981,5482,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,12-Sep-08,KC883748,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
982,5486,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,23-Aug-06,KC883744,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
983,5487,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,31-Oct-06,KC883743,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
984,5496,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,13-Oct-05,KC883734,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
985,5498,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,25-Oct-05,KC883732,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
986,5522,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,24-Sep-03,KC883708,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
987,5526,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,4-Sep-02,KC883704,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
988,5531,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,4-Sep-02,KC883699,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
989,5533,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,5-Nov-02,KC883697,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
990,5534,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,10-Jul-01,KC883696,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
991,5535,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus brachyrhynchos,,nucleotide,West Nile virus,1,1,Flaviviridae,12-Jul-01,KC883695,GenBank,Corvus brachyrhynchos,Corvus brachyrhynchos,100,22705990.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Brehm, 1822",,,,,,American Crow,,,LC,,3.1,2012.0,increasing,N,Corvus brachyrhynchos
